time,a,b
2004-12-10T13:55,42.48,14.5
2004-12-10T14:55,66.07,14.7
2004-12-10T15:55,75.51,14.8
2004-12-10T16:55,29.32,14.6
2004-12-10T17:55,14.26,14.2
2004-12-10T18:55,42.48,13.8
2004-12-10T19:55,22.65,13.4
2004-12-10T20:55,14.26,13.2
2004-12-10T21:55,22.65,12.9
2004-12-10T22:55,9.50,12.6
2004-12-10T23:55,14.26,12.4
2004-12-11T00:55,9.50,12.2
2004-12-11T01:55,14.26,12.0
2004-12-11T02:55,9.50,12.9
2004-12-11T03:55,14.26,12.7
2004-12-11T04:55,14.26,12.7
2004-12-11T05:55,29.32,12.5
2004-12-11T06:55,9.50,12.4
2004-12-11T07:55,9.50,12.4
2004-12-11T08:55,9.50,12.6
2004-12-11T09:55,14.26,12.2
2004-12-11T10:55,22.65,12.9
2004-12-11T11:55,56.63,13.9
2004-12-11T12:55,42.48,14.6
2004-12-11T13:55,42.48,14.8
2004-12-11T14:55,29.32,14.9
2004-12-11T15:55,56.63,15.0
2004-12-11T16:55,14.26,14.8
2004-12-11T17:55,9.50,14.5
2004-12-11T18:55,9.50,14.2
2004-12-11T19:55,2.83,13.7
2004-12-11T20:55,9.50,13.3
2004-12-11T21:55,14.26,13.2
2004-12-11T22:55,14.26,12.9
2004-12-11T23:55,14.26,12.9
2004-12-12T00:55,14.26,13.0
